ID,Kichwa,Spanish,sentimientos
1292,pacharikuy,cosmovisión  ,0.541333261
1293,pacharikuyw,cosmovisión ,0.541333261
1294,pachatupu,medida de tiempo ,0.816998362
1295,pachaykamay,física ,0.017084532
1296,pakana,esconder ,0.17591485
1297,pakarikuy,velar ,0.137795999
1298,pakarina,amanecer ,0.838765028
1299,pakashka,escondido ,0.541333261
1300,pakay,huabo ,0.541333261
1301,pakcha,cascada ,0.836114758
1302,pakchi,técnica ,0.096667278
1303,pakchiruray,tecnología ,0.541333261
1304,pakchirurayachay,taller ,0.076399228
1305,pakiriklla,frágil ,0.222288819
1306,pakiy,romper en pedazos- destrozar ,0.081901123
1307,pakiyupay,número racional ,0.151373328
1308,pakpayu,aves ,0.708899964
1309,paktachani,ecuación o igualdad de valores ,0.859319159
1310,paktachay,justicia ,0.256047433
1311,paktachichin,responsabilizar ,0.541333261
1312,paktachichina,responsabilizar ,0.541333261
1313,paktachik,responsable ,0.69204359
1314,paktachik kuchu,ángulo complementario ,0.97676717
1315,paktachik tantachishka,conjunto complementario ,0.97866439
1316,paktachikkuna,propiedades o relaciones ,0.259189414
1317,paktachikuna,propiedades ,0.264397249
1318,paktachiriy,asumir responsabilidad ,0.216554201
1319,paktachiy,responsabilidad ,0.541333261
1320,paktak,suficiente ,0.605496944
1321,paktakamu,libro mayor ,0.674347392
1322,paktakuchu,ángulo recto ,0.749250522
1323,paktakuchu kimsamanyachi,triángulo rectángulo ,0.716508251
1324,paktakuyuy- waskariklla,ritmo ,0.71197564
1325,paktalla kawsay,equidad de género ,0.013336195
1326,paktama,jeme ,0.541333261
1327,paktamanya,cateto menor ,0.448057973
1328,paktanancha,resultado ,0.541333261
1329,paktapuchu,diferencia simétrica ,0.541333261
1330,paktara,cuidado ,0.621057477
1331,paktaraki,divisibilidad ,0.541333261
1332,paktarakikyuk pakiyupaykuna,fracciones homogéneas ,0.020472991
1333,paktarakikyupay,máximo común divisor ,0.08114146
1334,paktarakirikyupay,mínimo común múltiplo ,0.458623771
1335,paktay,objetivo ,0.541333261
1336,paktayachay,currículo ,0.16890333
1337,paktayashka,equivalente ,0.385544336
1338,paktayuyay,definición ,0.288734809
1339,paku,café ,0.880534862
1340,pal anta,plátano ,0.752047498
1341,palama- itha- añallu,insecto ,0.111397632
1342,palamamiyu,insecticida ,0.062394804
1343,pallana,cosechar ,0.765568062
1344,pallay,cosechar ,0.765568062
1345,palta,aguacate ,0.298655185
1346,paltarikkuska,barra ,0.719594174
1347,pamaway,cosmos ,0.664364841
1348,pamaway nipa,elemento cósmico ,0.818260245
1349,pamawayak,cósmico ,0.840211245
1350,pamawyri,cósmico ,0.840211245
1351,pampa,planicie ,0.947052187
1352,pampa shuyukuna,figuras planas ,0.676479384
1353,pampallpa,llanura ,0.964077364
1354,pampawarmi,prostituta ,0.541333261
1355,panchi,febrero ,0.45237059
1356,panchi killa,febrero ,0.45237059
1357,pani,hermana hermano a hermana ,0.184033925
1358,pankakullki,billetes ,0.220687881
1359,pankalli,documento de identificacion- documento pequeño ,0.174376467
1360,panta,confuso ,0.338144941
1361,pantano- ciénega,wampu allpa ,0.541333261
1362,pantay,confusion ,0.188587058
1363,papa,patata ,0.541333261
1364,papaya,papaya ,0.224490395
1365,parana,demorar- durar en imbabura ,0.063790613
1366,parkuna,regar ,0.23871988
1367,paruk,pulmón ,0.541333261
1368,pascal kutinkutinchi,esquema de paskal ,0.201801182
1369,paskakuchu,ángulo obtuso ,0.360346749
1370,paskakuchu kimsamanyaychi,triángulo obtusángulo ,0.400177423
1371,paskama,cuarta ,0.27802547
1372,paskama-ukapa,cuarta de mano ,0.245121188
1373,paskana,abrir ,0.284600786
1374,paskarikra,braza longitud ,0.036686396
1375,paskay,abrir ,0.284600786
1376,pasña,adolescente mujer ,0.683745637
1377,pata millma,vello púvico ,0.351841475
1378,pata tullu,hueso púvico ,0.341272951
1379,patarina,doblar ,0.121140912
1380,patay,grado sexagecimal ,0.309562417
1381,patayak:,tramo ,0.800305365
1382,patayay,tramo ,0.800305365
1383,patayayku,intervalo- recorrido- rango ,0.609650383
1384,patayku,minutos angulares ,0.146032686
1385,pataykulla,segundos angulares ,0.115088508
1386,patpa,pluma ,0.164684409
1387,patpay,emplumar ,0.541333261
1388,patsak,cien- 100 ,0.541333261
1389,patsak piti,tanto por ciento ,0.03062156
1390,patsakri,porcentaje ,0.14199864
1391,patsakri shutichi,notación porcentual ,0.21743447
1392,patsakri shutichiy,notación porcentual ,0.21743447
1393,patsakrikrapampa,cuadra ,0.101617569
1394,patsaktatkipampa,hectárea ,0.71657598
1395,patsakwata,siglo ,0.894534675
1396,pawana,volar ,0.28848034
1397,pawkar,marzo ,0.32297703
1398,pawkar killa,marzo ,0.32297703
1399,pay,ella ,0.385941978
1400,paya,vieja ,0.443527433
1401,paya mama,anciana ,0.229189587
1402,paya ruka,dedo pulgar ,0.122611636
1403,payku,payco ,0.541333261
1404,paykuna,ellas ,0.541333261
1405,payllashka,pagado ,0.130935816
1406,payllay,pagar ,0.218677912
1407,paypachik,pertenencia ,0.541333261
1408,paypaknay,pertencer ,0.541333261
1409,peña,haka ,0.906209865
1410,phacha,sábana ,0.020175529
1411,phallkala,sien ,0.065021721
1412,phanka,hoja ,0.173895793
1413,phankalla,liviano ,0.914378433
1414,phatsayana,separar ,0.541333261
1415,phawachik anku,nervio ,0.421472896
1416,phintu,manta- trapo ,0.294045017
1417,phintu ushuta,medias ,0.486259178
1418,pichay,limpia ,0.835430042
1419,pichay- chuyay- mayllay,limpieza- aseo ,0.458248259
1420,pichka,cinco- 5 ,0.541333261
1421,pichka chunka,cincuenta- 50 ,0.541333261
1422,pichka patsak,quinientos- 500 ,0.541333261
1423,piki,pulga ,0.290829696
1424,pillis,piojo del cuerpo ,0.490605969
1425,pillpintu,mariposa ,0.641152229
1426,pimill,alga acuática ,0.404805104
1427,pinkay,vergüenza ,0.033917582
1428,pinkullu,tobillo ,0.002031816
1429,pinllu,lechero ,0.013708886
1430,piruri,rol ,0.386948259
1431,piruru,disco ,0.53426418
1432,pirway,diagramación ,0.541333261
1433,pirwayay,maqueta ,0.682163698
1434,pirámide natural-,kutama ,0.541333261
1435,pishiyak pakiyupay,fracción propia ,0.30556654
1436,pishiyashka,menor que ,0.448057973
1437,pishku,pájaro- ave ,0.356037468
1438,pishku- patpayuk,ave ,0.356037468
1439,piti,poco ,0.443220813
1440,pitikuska,segmento ,0.625688704
1441,pitina- kuchuna,cortar ,0.267623854
1442,pituy,deseo amoroso ,0.708087791
1443,pityuk- chuskulli pukcha,arroba ,0.109430336
1444,piñakuy,enfadado ,0.065142658
1445,piñana,enfadarse ,0.121993107
1446,piñashka,enojado ,0.210591582
1447,plumaje,patpasapa ,0.541333261
1448,policia,chapak ,0.541333261
1449,puchu,diferencia ,0.541333261
1450,puchu tupati,cabo de vela ,0.6067529
1451,puchuy,extraño ,0.333129759
1452,puka,rojo ,0.541333261
1453,puka sara,maíz rojo ,0.541333261
1454,pukara,lugares sagrados – centros ceremoniales ,0.891719472
1455,pukcha,quintal ,0.024007684
1456,pukchiku,onza ,0.82807369
1457,pukllana,jugar ,0.541333261
1458,pukllay,deporte ,0.892438451
1459,pukpu,litro- botella ,0.571372456
1460,pukshay akllay kamachik,tribunal electoral ,0.083322624
1461,puku,plato ,0.541333261
1462,pukuk,soplador ,0.541333261
1463,pukukuk,productivo ,0.346543824
1464,pukukun,fecundo- fertil ,0.84670873
1465,pukuna,cerbatana ,0.541333261
1466,pukushka,encantado ,0.541333261
1467,pukuy,producción ,0.474963008
1468,pukuyay,madurez ,0.440910959
1469,pukyu,vertiente ,0.541333261
1470,pullkanka,escudo ,0.541333261
1471,pullkankayuk,escudero ,0.152888356
1472,puma,puma ,0.541333261
1473,puma-maki,pumamaqui ,0.541333261
1474,punasuyu,región sierra ,0.614881607
1475,puncha,día ,0.541333261
1476,punchaklla,claro ,0.328363758
1477,punchankamu,libro diario ,0.595646497
1478,punchanta kawsay,vida cotidiana ,0.879009735
1479,punchayakun,alba ,0.380177592
1480,puntu,vasija ,0.820497305
1481,pupu,ombligo ,0.629312902
1482,puray,relación ,0.880541801
1483,purichihallmay,segunda desyerbe ,0.561160126
1484,purik,caminante ,0.813672068
1485,purikacha,paseo ,0.979649099
1486,purina,caminar ,0.971628026
1487,purun,llanura abandonada ,0.964077364
1488,purun wiwa,animal silvestre ,0.675134981
1489,purutu,fréjol ,0.541333261
1490,pusak,ocho- 8 ,0.541333261
1491,pusak chunka,ochenta- 80 ,0.541333261
1492,pusak patsak,ochocientos- 800 ,0.541333261
1493,pusakkamay,dirección ,0.314955379
1494,pushak,lider ,0.300601529
1495,pushakakllay,tribunal ,0.083322624
1496,pusku- hatki,ácido ,0.321676312
1497,pusku- putuku,espuma ,0.260929622
1498,putiha,unidad fundamental de la fanega ,0.5204154
1499,putika,botija 12-5 lib ,0.215579638
1500,putitupu,medida de volumen ,0.426455215
1501,putu,galón ,0.299606795
1502,putuk,trapecio ,0.541333261
1503,putukuk,trapezoide ,0.541333261
1504,puyuy,evaporación ,0.541333261
1505,puzun,estómago ,0.280626713
1506,puñuna,dormir ,0.198601706
1507,puñuyllak,insomnio ,0.094643918
1508,raka,vagina ,0.355258238
1509,? rakacha,zanahoria ,0.429454706
1510,rakacha,zanahoria ,0.429454706
1511,rakikyupay,denominador ,0.696446455
1512,rakikyupaykuna,números divisores ,0.132855839
1513,rakinakuy,distribución ,0.66149221
1514,rakinchi,submúltiplo ,0.541333261
1515,rakiri,parte- sección ,0.306638676
1516,rakirikuska,partes ,0.663268401
1517,rakirikyupay,numerador ,0.541333261
1518,raku,grueso ,0.541333261
1519,raku chunchulli,intestino grueso ,0.116646346
1520,raku kushma,abrigo ,0.702833171
1521,raku purutu,porotón ,0.541333261
1522,rakuyay,grosor o espesor ,0.541333261
1523,rantimpana,intercambiar ,0.541333261
1524,rantimpayni,reciprocidad ,0.036628443
1525,rantina,comprar ,0.557752259
1526,rantinpa pankakuna,documentos comerciales  ,0.363451234
1527,rantinpak- ayni,reciprocidad ,0.036628443
1528,rantinpaktak,conmuntativa ,0.541333261
1529,rantinpanka,factura ,0.247060766
1530,rantinpankaku,tarjeta de crédito ,0.136240865
1531,ranziyu,gringos- ingleses ,0.816358431
1532,ranziyukunapak mamallakta,país anglosajona ,0.883135558
1533,rasu,sólido agua ,0.768900913
1534,rasuyay,solidificación agua ,0.576205837
1535,ratata,fuego energía ,0.634367432
1536,ratata allpa,pólvora ,0.541333261
1537,ratata urku,fuego del volcán ,0.724400983
1538,rawmay,podar ,0.02017477
1539,rawrana,arder ,0.070718778
1540,rawranay kaspikuchuna kapak,caballero de la ardiente espada ,0.601638162
1541,rayku,ocasion ,0.541333261
1542,raymi,junio- fiesta ,0.580005814
1543,raymi killa,junio ,0.230519004
1544,razu,nevado ,0.541333261
1545,rikcha,semejanza ,0.541333261
1546,rikcha,semejanza- congruencia ,0.256184542
1547,rikcha kutirik,factor común ,0.617149643
1548,rikchachani,valor semejante ,0.557609368
1549,rikchak,foto ,0.683682953
1550,rikchak,foto- fotografía- semejante ,0.440760275
1551,rikchakmaytu,carrete de fotos- rollo de pelicula para fotos ,0.552502891
1552,rikchay/suyu,figura ,0.557990708
1553,rikchayachiy,genética ,0.944811057
1554,rikra,brazo ,0.408163944
1555,rikra uku,axila ,0.024762157
1556,rikramuku,codo ,0.541333261
1557,riksi,conocido ,0.705966714
1558,riksichik yuyay,presentación ,0.882503328
1559,riksichikyuyay,presentación ,0.882503328
1560,riksina,conocer ,0.952360652
1561,riksiri,identidad persona ,0.615351225
1562,riksishka,conocido ,0.705966714
1563,rikuchi,manifestación ,0.541333261
1564,rikuchik ruka,dedo índice ,0.081531051
1565,rikuchikkuna,indicadores ,0.541333261
1566,rikuchina,exponer ,0.166321215
1567,rikuchishuyu,pictograma o icono ,0.958640873
1568,rikuchiy,índice ,0.193705086
1569,rikuna,mirar ,0.569375635
1570,rikurayana,controlar ,0.286468644
1571,rikurik,vista- que se ha visto ,0.67161673
1572,rikuypacha,paisaje ,0.980217015
1573,rimak,hablante ,0.541333261
1574,rimana,relatar- hablar ,0.198389637
1575,rimanakuna,dialogar ,0.428535352
1576,rimarikuna,expresiones- conversaciones ,0.37427598
1577,rimayachakuy,seminario ,0.310483202
1578,rimaykachay,discurso ,0.254300166
1579,rimaytaki,copla ,0.944966948
1580,rinri,oreja- oído ,0.541333261
1581,rinri kuru,caracol del oído ,0.31190019
1582,rinrina,arete ,0.179634858
1583,ripana,ir ,0.676114384
1584,ripankalli,boleto o ticket de avion- tren- autobus ,0.326064868
1585,ritimuna,energía ,0.795198072
1586,ritirina kuska,lugares energéticos ,0.963183802
1587,ritiwayra,energía eòlica ,0.238523351
1588,ritiy,energía ,0.795198072
1589,ruka,dedo ,0.122611636
1590,ruku,viejo ,0.445294554
1591,ruku yaya / ruku tayta,anciano ,0.330373836
1592,rukutu uchu,ají picante ,0.608983681
1593,rumiyashka,fósil ,0.063477735
1594,runa,ser humano ,0.646006282
1595,runakak,ser humano ,0.646006282
1596,runapachakay,humanidad ,0.541333261
1597,runapak aycha,el cuerpo humano  ,0.490605969
1598,runashina,personaje ,0.677987258
1599,runayay pacha yuyay,evolución del hombre ,0.651258044
1600,runpaki,pelota de futbol ,0.334717144
1601,ruparishka,quemadura ,0.016125593
1602,rupariykuna,combustión ,0.012912169
1603,rurakay,deber hacer- obligacion ,0.547102256
1604,rurana,aplicar ,0.541333261
1605,rurarayana,ejercitar ,0.947934335
1606,rurarayana w,ejercitar ,0.947934335
1607,rurarayay,ejercitar ,0.947934335
1608,rurashkayuyay,antecedente ,0.541333261
1609,ruray,función- edificar- construir ,0.637627745
1610,ruray paktachi,rol función ,0.67260133
1611,ruraykatichiy,programa agenda ,0.548000145
1612,rurayri ñan,proceso operativo ,0.286503208
1613,rurukuna,frutas ,0.893365046
1614,ruwana,poncho ,0.169635499
1615,río,mayu ,0.959560368
1616,sacha,selva ,0.959718827
1617,sacha wiwa,animal silvestre ,0.675134981
1618,sachana,forestar ,0.541333261
1619,sachayu,silvestre ,0.861306104
1620,sakina,abandonar- dejar ,0.585729408
1621,sakiriy,quedarse ,0.541333261
1622,sakishka,abandonado- dejado ,0.31473629
1623,sakma,bofetada ,0.541333261
1624,sakmay,abofetear ,0.169101015
1625,sakra,brujo ,0.541333261
1626,sakrachiy,hacer brujería ,0.210605515
1627,sakray,embrujar- hechizar- echar maleficios ,0.298989245
1628,saksana,hartar ,0.032782068
1629,salliy,azufre ,0.945654289
1630,samana,descansar ,0.93384586
1631,samay,aliento- respiración ,0.596766053
1632,samaytu,aura ,0.813476839
1633,sami,variedad- clase ,0.459870867
1634,saminay,herencia ,0.349356445
1635,saminchashka,bendito ,0.360080526
1636,saminchay,bendecir viene de la tradición de la cosecha ,0.916257475
1637,samiyachiy,clasificación ,0.541333261
1638,sanka,cerco- excavaciòn ,0.685633092
1639,sanku,espeso ,0.541333261
1640,sapalla,viudo- viuda ,0.541333261
1641,sapalla nipapurachi,correspondencia biunívoca ,0.167353237
1642,sapalla rikcha kutirik,factor común monomio ,0.617149643
1643,sapalla shuti,sustantivo individual ,0.61710048
1644,sapallu,sapallo ,0.541333261
1645,sapan,cada quien - cada uno ,0.575909725
1646,sapan kawsaykuna,racismo ,0.347136649
1647,sapansami chain,población estadística ,0.429173934
1648,sapansami chani,población estadística ,0.429173934
1649,sapapurachi,inyectiva ,0.541333261
1650,sapi,raiz ,0.567635311
1651,sapsi,características ,0.541333261
1652,sapsi- imakay,característica ,0.541333261
1653,sapsikuna,características ,0.541333261
1654,sara,maíz ,0.541333261
1655,saran,rendija ,0.027921268
1656,sarun / kaynapak kayna,anteayer ,0.023267876
1657,sasa yuyay,oración compuesta ,0.871455798
1658,sasa yuyay gt,oración compuesta ,0.871455798
1659,sasak,dificil ,0.454060631
1660,sasamanta,dificilmente ,0.541333261
1661,sasasapa,dificultad ,0.711934629
1662,sasi,noviembre ,0.315298878
1663,sasi killa,noviembre ,0.315298878
1664,satina,meter ,0.10909434
1665,satirishka,metido- metiche ,0.009993943
1666,sawarina warmi,novia- prometida ,0.541333261
1667,saylla,hora ,0.4767268
1668,sayllachik,horario ,0.8772335
1669,sayllachikancha,husos horarios ,0.770475447
1670,sayni,lila ,0.541333261
1671,saywa,lindero- límite ,0.378538499
1672,sayway,limitacion ,0.387149339
1673,sañukata,tejado ,0.541333261
1674,shanu- uki,cafécolor ,0.541333261
1675,shayak,vertical ,0.541333261
1676,shaykushka,cansado ,0.272473781
1677,shayri,tabaco ,0.541333261
1678,shayriyay,tabaquismo ,0.541333261
1679,shañu- kiwi,caféplanta ,0.541333261
1680,shikra,bolso- cartera ,0.249248238
1681,shikshi,comezón ,0.030625208
1682,shimi,boca ,0.70982102
1683,shimi kamachik,gramática ,0.382005859
1684,shimi kara,labio ,0.007016404
1685,shimi kiru,diente ,0.541333261
1686,shimi millma,bigote barba ,0.045654954
1687,shimiki,sílaba ,0.183575925
1688,shimiku,morfema ,0.541333261
1689,shimiku yuyay awariy,morfosintaxis ,0.541333261
1690,shimikukancha yachay,morfología ,0.541333261
1691,shimininakuy,prometerse mutuamente ,0.541333261
1692,shiminishka,promesa ,0.324739525
1693,shiminiy,prometer ,0.541333261
1694,shimisapa,chismoso ,0.010861539
1695,shimiyari,relación ,0.880541801
1696,shimiyuk kamu,diccionario ,0.351208626
1697,shina,ejemplo ,0.541333261
1698,shina imallichik,adverbio de modo ,0.530720973
1699,shinalla- rikchalla,parecido a ,0.623826296
1700,shinashinalla,sencillo ,0.852756585
1701,shipir,cuña ,0.679634307
1702,shiray,droga ,0.228271881
1703,shitana,arrojar- tirar ,0.226424685
1704,shiwi,anillo ,0.341489587
1705,shuk,uno- 1 ,0.541333261
1706,shuk patay paktachani,ecuación de primer grado ,0.858557351
1707,shukkuna,unos ,0.541333261
1708,shukllamanta nipapurachi,correspondencia univoca ,0.167353237
1709,shukllayashka,unidad ,0.184437366
1710,shukniki kallari yachay,primer nivel ,0.792179621
1711,shukniki patayay,primer tramo ,0.816496426
1712,shuknipa yuyay,oración unimembre ,0.833820431
1713,shukta charik tantanakuykuna,potencias dominantes ,0.145346654
1714,shuktak,otro ,0.541333261
1715,shuktakkuna,otros ,0.541333261
1716,shuktayachik,caso ,0.326902473
1717,shuktayay,derivados ,0.261223608
1718,shukyachina,fusionar ,0.046174624
1719,shukyachishka,unificado grafía ,0.541333261
1720,shunku,núcleo- corazón ,0.692655149
1721,shunku ruka / chawpi ruka,dedo del corazón- dedo del medio ,0.146573379
1722,shunku yuyayw,idea central ,0.66649066
1723,shunkuna,humildad ,0.648288747
1724,shunkushka,presentimiento ,0.095986874
1725,shunkuyuk,humilde ,0.763757886
1726,shunkuyuyay,intención ,0.272540991
1727,shushuna,filtrar ,0.541333261
1728,shutikuna,nomenclatura ,0.541333261
1729,shutillatak,verdadero/a ,0.541333261
1730,shutilli,adjetivo ,0.288324504
1731,shutintak,en verdad ,0.58320111
1732,shutipak rantikuna,pronombres personales  ,0.123274613
1733,shutipi llaktapak shutipi,representación ,0.768797599
1734,shutiranti,pronombre ,0.03429758
1735,shutiy,verdad ,0.58320111
1736,shuwana,robar ,0.068308895
1737,shuyay,esperar ,0.446156607
1738,shuyu,imagen- dibujo- gráfico ,0.541333261
1739,shuyu nikichik,ordenador gráfico ,0.065335772
1740,shuyuchik chakata,rosa de los vientos ,0.460161963
1741,shuyutupukamachi,sistema geométrico ,0.896265352
1742,shuyutupukamay,geometría ,0.731574683
1743,shuyutupukamaychi,sistema geométrico ,0.896265352
1744,shuyutupumanya,figura geométrica ,0.557990708
1745,siki,nalga ,0.025510266
1746,siki tullu / siki chupa tullu,coxis ,0.541333261
1747,siki utuku,ano ,0.541333261
1748,siklla,gentil ,0.455385202
1749,sinchi,duro ,0.341367612
1750,sinchi aycha,músculo ,0.131203792
1751,sinchi rumi,solido ,0.785725243
1752,sinchi rumpa,esfera sólida ,0.7443037
1753,sinchi wiru,cilindro sólido ,0.28867822
1754,sinchikay,resistencia ,0.541333261
1755,sinchikuy,esfuerzo ,0.541333261
1756,sinchiruna,valiente ,0.437011508
1757,sinchiyachik,acentuación/ atrevido ,0.295113658
1758,sinchiyachik unancha,signo de exclamación ,0.734478513
1759,sinchiyachiy,atreverse ,0.701461031
1760,sinchiyashka,dureza ,0.643397747
1761,sinchiyay,solidificación ,0.541333261
1762,sinchiyuyana,razon ,0.20840013
1763,sinchiyuyarishka,razonado ,0.541333261
1764,sinka,nariz ,0.089011367
1765,sinka utuku,fosa nasal ,0.083862716
1766,sinkanku,elefante ,0.316983209
1767,sirana,coser ,0.22334516
1768,sirik,horizontal ,0.541333261
1769,sirina,acostar ,0.143747087
1770,sirma,electricidad ,0.572068482
1771,sirpa,traicion ,0.231825755
1772,sirpak,traidor ,0.028677462
1773,sirpashka,traicionado ,0.418364711
1774,sirpay,traicionar ,0.109759992
1775,sisa,flor ,0.753786385
1776,siti,muñeco ,0.054215266
1777,sitwa,julio ,0.688924246
1778,sitwa killa,julio ,0.688924246
1779,suchu,paralítico ,0.541333261
1780,sukta,seis- 6 ,0.541333261
1781,sukta chunka,sesenta- 60 ,0.541333261
1782,sukta pakta umiña,cubo o exaedro ,0.236216845
1783,sukta patsak,seiscientos- 600 ,0.541333261
1784,suktachishka tiksi umiña,poliedro hexagonal ,0.971186182
1785,suktachishka umiña,poliedro hexagonal ,0.971186182
1786,suku,gris- carrizo ,0.541333261
1787,sulka-kitilli,parroquia ,0.925416935
1788,sulka-kitilli w,parroquia ,0.925416935
1789,sumak,bonito- hermoso- bello- rico- excelente ,0.939591761
1790,sumak killka,caligrafía ,0.541333261
1791,sumak kuska,zona- lugar turística ,0.924406846
1792,sumak kuskakamay,turismo ,0.824521251
1793,sumak kuskakuna,lugares turísticos ,0.96510301
1794,sumak napaywan,saludos cordiales ,0.815748806
1795,sumak rimariy,literario ,0.723090267
1796,sumak rimay yachay,literatura ,0.689868642
1797,sumak rimayachak,literato ,0.541333261
1798,sumak rimayachay,literatura ,0.689868642
1799,sumak rimaysami,género literario ,0.723090267
1800,sumak rimaysami w,genero literario ,0.723090267
1801,sumak yupay,honra- honor ,0.714719091
1802,sumakillka,caligrafía ,0.541333261
1803,sumakyachik rimay,figura literaria ,0.692184342
1804,sumakyachik yura,planta ornamental ,0.981794506
1805,sumakyachina,respeto- respetuoso ,0.865246416
1806,sumaychana - muchana,respetar ,0.332261477
1807,sumaychay,respeto ,0.353994448
1808,suni,longitud ,0.541333261
1809,sunikuchu,ángulo llano o plano ,0.738824188
1810,sunisuytu,regla o regleta ,0.090291576
1811,sunitupu,medida de longitud ,0.541333261
1812,suniwachi,jabalina ,0.541333261
1813,suniyachik kuchu,ángulo suplementario ,0.749250522
1814,suniyak,línea ,0.294496503
1815,sunka-,barba ,0.095983936
1816,sunkana- tsunkana,absorber ,0.541333261
1817,sunturpawkar,lanza ,0.541333261
1818,supa- pakpa- karachi,fibracabuyo ,0.541333261
1819,surkuy,sacar ,0.724539185
1820,suytuyashka kullka,prisma rectangular ,0.927237569
1821,suyu,región ,0.80450387
1822,suyu rikuchik iñu,puntos cardinales ,0.994514756
1823,suyuta rikuchik anta,brújula ,0.138002115
1824,taki,música ,0.811101979
1825,takina,cantar ,0.659243558
1826,takina,tocar musica ,0.811101979
1827,takiwayrariy,aeróbico ,0.846298953
1828,takzu,tacso ,0.541333261
1829,tallpa,camisa ,0.226460156
1830,talpa,blusa ,0.541333261
1831,tampu,posta ,0.315067349
1832,tampul,desorden ,0.304253675
1833,tampulyachay,conocimiento desordenado ,0.61629317
1834,tanapay,ayudar- favor ,0.235898853
1835,tantachi unancha,signo de agrupación ,0.421830965
1836,tantachina,agrupar ,0.541333261
1837,tantachipakta,asociativa ,0.541333261
1838,tantachishka,conjunto ,0.736916117
1839,tantachishka tantariy,unión de conjuntos ,0.901311231
1840,tantachishkakunapa kutinchipaktachi,propiedades de la intersección ,0.817162534
1841,tantachishkakunapa sami,clases de conjuntos ,0.82733992
1842,tantachishkakunata paktachiy,complementación de conjuntos ,0.901311231
1843,tantachishkakunata raki,partición de conjuntos ,0.175638164
1844,tantachishkakunata rakiy,partición de conjuntos de conjuntos ,0.472746181
1845,tantachishkakunata tukuyyachi,complementación de conjuntos ,0.901311231
1846,tantachishkamanta anchuchi,diferencia de conjuntos ,0.901311231
1847,tantachishkapa yapaypaktachikuna,propiedades de la unión o adición ,0.264397249
1848,tantachishkata kutinkutinchi,conjunto potencia ,0.611885307
1849,tantachishkata kutinkutinchiy,conjunto potencia ,0.611885307
1850,tantachiy,agrupación- recoger ,0.090231205
1851,tantachiy rurayri,unión de conjuntos ,0.901311231
1852,tantachiy unancha,signo de agrupación ,0.421830965
1853,tantachiyachay,unidad didáctica ,0.184437366
1854,tantallalawsay,reino ,0.357917044
1855,tantalli,panecillo- pan pequeño ,0.680791077
1856,tantanakuy,organización ,0.541333261
1857,tantari yachaypa yupay,número de la unidad ,0.089948237
1858,tantarikillka,acta ,0.058688077
1859,tantariku,subconjunto ,0.541333261
1860,tantarimanta killka,acta ,0.058688077
1861,tantarinakuy,asamblea ,0.833138765
1862,tantariypa niki,orden del día ,0.759931466
1863,tapuk shutiranti,pronombre interrogativo ,0.03429758
1864,tapuk yuyay,oración interrogativa ,0.833820431
1865,tapuy,preguntar ,0.299192893
1866,tapuykutichina,entrevistar ,0.280323294
1867,tapyaruna,mago ,0.541333261
1868,tapyay,embrujar ,0.541333261
1869,tarina,encontrar ,0.823239641
1870,taripana,examen ,0.07108797
1871,taripana,investigar ,0.152370935
1872,taripapuk,juez ,0.11217791
1873,taripay,averiguar ,0.755443931
1874,taripayhapi,descubrir ,0.899284682
1875,taririklla paktachik,complemento circunstancial ,0.921134634
1876,tarpuna,sembrar ,0.249393139
1877,tarpuy,sembrar ,0.249393139
1878,tarpuymirariy,implementación ,0.541333261
1879,taruka,venado ,0.202155141
1880,taslla,elegante ,0.962619056
1881,tatki,minuto ,0.446473842
1882,tatki chumpiku,cinta métrica ,0.074446094
1883,tatkikutinchi,múltiplo del metro ,0.702424177
1884,tatkirakinchi,submúltiplo del metro ,0.702424177
1885,tawa,cuadrado ,0.541333261
1886,tawakunapa puchu,diferencia de cuadrados ,0.541333261
1887,tawantin,precisión ,0.816312009
1888,tawantinsuyu,imperio ,0.419048326
1889,tawasampa,corona grande de plumas de guacamayo ,0.543742703
1890,tawasuyu,puntos cardinales ,0.994514756
1891,tawatatki,metro cuadrado ,0.702424177
1892,tawayashka kullka,prisma cuadrangular ,0.901120596
1893,tawka,mucho- bastante- montón ,0.541333261
1894,tawka kawsay,pluricultural ,0.958418503
1895,tawka kilkanancha kutinchichiy,factorización de polinomios en general ,0.064271826
1896,tawka rikcha kutirik,factor común polinomio ,0.617149643
1897,tawri,chocho ,0.835800266
1898,tay,gol ,0.386300492
1899,terrón,kurpa ,0.541333261
1900,thuka,saliva ,0.006432539
1901,tierra,allpa ,0.541333261
1902,tierra blanca,yurak allpa ,0.541333261
1903,tierra estéril,tsala allpa ,0.541333261
1904,tierra fértil,alli allpa ,0.541333261
1905,tierra negra,yana allpa ,0.020840295
1906,tierra roja,puka allpa ,0.541333261
1907,tikrak shimiki,sílaba inversa ,0.076080623
1908,tikrana,volver ,0.75140838
1909,tikratarpuy,reforestaciòn ,0.911370634
1910,tikray,traducir- convertirse ,0.646452142
1911,tiksi,base o básico ,0.569670017
1912,tiksi yachaykuna,contenidos básicos ,0.613372731
1913,tiksi yuyay,fundamentación ,0.541333261
1914,tiksitupu,unidad de medida fundamental ,0.5204154
1915,tiksiy,fundar ,0.541333261
1916,tiksiyay mutsuykuna,servicios básicos ,0.557397958
1917,tinkina,unir ,0.444525278
